真实标签,预测概率
1,0.3197698
1,0.4832156
1,0.6982824
1,0.93493927
1,0.89091617
1,0.3197698
1,0.3197698
1,0.3197698
1,0.52735317
1,1.0
1,0.3197698
1,0.944376
1,0.3197698
1,0.3197698
1,0.3197698
1,0.3197698
1,1.0
1,0.53698105
1,0.3197698
1,0.3197698
1,0.784868
1,0.3197698
1,0.9999993
1,0.99940217
1,0.3197698
1,0.3197698
1,0.68904567
1,0.3197698
1,1.0
1,0.3197698
1,0.3197698
1,0.3197698
0,0.3197698
0,0.3197698
1,0.9999987
1,0.7961577
0,0.3197698
0,0.3197698
1,0.3197698
1,1.0
0,0.56029683
0,0.3197698
0,0.3197698
1,0.9999971
1,0.9984788
0,0.3197698
1,0.74612975
0,0.9211669
0,0.3197698
1,1.0
1,0.3197698
0,0.5363477
1,0.3197698
0,0.3197698
1,0.6216105
1,0.9013724
1,0.3197698
0,0.3197698
0,0.3197698
0,0.3197698
0,0.3197698
0,0.3197698
1,0.5867512
1,0.55954355
1,0.85675555
0,0.3197698
1,0.3197698
1,0.3197698
1,0.5653985
1,0.3197698
0,0.3197698
0,0.3197698
1,0.3197698
0,0.3197698
1,0.3197698
0,0.3197698
1,0.7186232
1,1.0
1,0.3197698
0,0.3197698
0,0.67178667
1,0.3197698
1,0.3197698
0,0.3197698
1,0.3197698
1,0.3197698
1,0.3197698
1,0.914689
1,0.9999178
1,0.3197698
0,0.3197698
1,0.3197698
0,0.5837917
1,0.3197698
0,0.79678166
0,0.3197698
0,0.3197698
1,0.3197698
0,0.5397598
1,0.3197698
1,0.77823067
1,1.0
0,0.3197698
1,0.3197698
1,0.3197698
0,0.3197698
0,0.3197698
1,0.8552349
1,0.5056846
1,0.3197698
1,0.75160253
0,0.3197698
1,0.96670324
1,0.6917694
0,0.3197698
1,0.3197698
0,0.3197698
0,0.3197698
0,0.3197698
1,0.6379705
0,0.3197698
1,0.3197698
0,0.3197698
0,0.3197698
0,0.80214065
1,0.3197698
1,1.0
0,0.3197698
0,0.3197698
1,0.3197698
0,0.3197698
1,0.99985176
0,0.5569052
1,0.3197698
0,0.3197698
1,0.3197698
1,0.5628587
0,0.3197698
0,0.3197698
1,0.3197698
1,0.3197698
1,0.3197698
1,0.3197698
0,0.3197698
0,0.3197698
1,0.3197698
1,0.9999906
0,0.91491413
0,0.3197698
0,0.3197698
0,0.3197698
1,0.3197698
0,0.81424844
1,0.83054656
0,0.3197698
0,0.3197698
1,0.3197698
0,0.3197698
1,0.3197698
1,0.8274295
0,0.3197698
0,0.55428725
0,0.3197698
1,0.3197698
1,0.53025395
0,0.3197698
0,0.3197698
0,0.3197698
1,0.5392115
0,0.53731996
0,0.3197698
0,0.3197698
1,0.48266765
0,0.3197698
1,0.3197698
1,0.3197698
1,0.4544967
0,0.3197698
0,0.3197698
0,0.85526645
0,0.3197698
1,0.64511263
1,0.3197698
1,0.3197698
1,0.52162546
1,0.56586564
1,0.9999865
1,0.3197698
1,0.3197698
1,1.0
1,0.7276001
1,0.3197698
0,0.3197698
1,1.0
