真实标签,预测概率
0,0.36512622
0,0.5401904
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.83959115
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.571702
1,0.36512622
0,0.36512622
1,0.36512622
1,0.36512622
0,0.36512622
1,0.6057754
1,0.36512622
1,0.6831435
0,0.6076542
1,1.0
1,0.785534
1,0.92206466
0,0.36512622
1,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.36512622
1,0.36512622
0,0.36512622
1,1.0
1,1.0
0,0.36512622
1,0.36512622
1,0.36512622
1,0.9999997
1,0.72473073
0,0.36512622
0,0.36512622
0,0.36512622
1,0.36512622
1,0.36512622
1,0.36512622
1,1.0
0,0.6760481
0,0.36512622
0,0.36512622
1,0.36512622
0,0.39865085
1,0.77141535
1,0.66469043
1,1.0
1,0.36512622
0,0.36512622
1,0.6545311
1,0.36512622
1,0.36512622
0,0.58640635
0,0.36512622
1,0.36512622
1,0.36512622
0,0.36512622
1,0.36512622
1,0.78097034
0,0.36512622
0,0.36512622
1,0.6435521
1,0.36512622
1,0.56646097
0,0.36512622
1,0.58813053
1,0.36512622
1,0.76038915
0,0.36512622
0,0.36512622
1,0.36512622
1,0.36512622
1,0.41065174
1,1.0
0,0.36512622
0,0.36512622
0,0.36512622
1,0.6140228
1,0.8795253
1,0.89608884
1,0.7028638
1,0.36512622
1,0.6310866
0,0.36512622
1,0.6790631
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
1,0.36512622
1,0.89954793
0,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.7327658
1,1.0
1,0.7093147
0,0.36512622
1,0.6680833
1,0.36512622
1,0.97317475
1,0.9999962
1,1.0
1,0.36512622
1,0.36512622
0,0.36512622
1,1.0
1,0.36512622
1,0.47987625
1,0.36512622
1,1.0
1,0.36512622
1,0.451036
0,0.36512622
1,0.66611326
1,0.36512622
0,0.60582626
0,0.36512622
0,0.36512622
1,0.79297763
1,0.36512622
0,0.36512622
0,0.58538306
1,0.83816993
0,0.5835031
1,1.0
1,0.36512622
0,0.613673
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.8478266
0,0.36512622
0,0.36512622
1,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
0,0.70584697
1,0.9189557
1,0.76534724
1,0.55628806
1,0.77972853
0,0.48088095
0,0.9325473
1,0.36512622
0,0.36512622
0,0.36512622
1,0.99931514
1,0.36512622
1,0.8835964
0,0.36512622
1,0.36512622
1,0.835701
1,0.6280657
0,0.36512622
0,0.36512622
0,0.36512622
1,0.7941583
1,0.85823154
0,0.36512622
1,0.82723486
0,0.8817228
1,0.9999818
1,1.0
0,0.36512622
1,0.51973957
0,0.36512622
1,0.96325946
1,0.36512622
1,0.9892478
1,0.73354447
0,0.36512622
1,0.61836654
1,0.36512622
0,0.36512622
0,0.81188416
1,0.36512622
0,0.36512622
0,0.71647763
0,0.36512622
0,0.36512622
1,0.79191685
1,0.6079453
1,0.36512622
0,0.36512622
0,0.36512622
1,0.6298419
1,0.99657625
1,0.62731475
1,0.9135021
1,0.36512622
1,1.0
1,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.7079523
0,0.64815027
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.36512622
0,0.36512622
1,0.7868286
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.58004797
0,0.57281697
1,0.81820774
1,0.60309494
1,0.58955485
1,0.36512622
0,0.64968455
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,1.0
1,0.36512622
0,0.36512622
1,0.7451762
0,0.36512622
0,0.36512622
1,0.86750185
1,0.5751076
1,0.36512622
0,0.36512622
0,0.36512622
1,0.8102011
0,0.36512622
0,0.36512622
1,0.36512622
0,0.36512622
0,0.36512622
0,0.36512622
1,0.9417694
1,0.36512622
0,0.36512622
1,0.62199116
1,0.99998975
1,0.6069629
1,0.36512622
0,0.36512622
0,0.36512622
1,0.828733
1,0.55825615
1,0.79834396
1,0.83070076
1,0.36512622
1,0.7286604
0,0.36512622
0,0.36512622
0,0.36512622
0,0.84895253
1,0.67552674
1,0.7326928
0,0.36512622
0,0.36512622
1,0.759401
1,0.6075347
0,0.36512622
1,1.0
0,0.36512622
0,0.62518865
1,1.0
1,1.0
1,0.36512622
0,0.36512622
1,0.36512622
1,0.36512622
1,0.36512622
0,0.36512622
1,0.36512622
1,0.99970156
0,0.36512622
0,0.36512622
1,0.99999994
0,0.6010071
0,0.36512622
1,0.36512622
0,0.7583467
1,1.0
1,1.0
1,0.6779928
0,0.36512622
0,0.36512622
1,1.0
0,0.36512622
0,0.36512622
