真实标签,预测概率
1,0.350073
1,0.35627246
1,0.3958351
1,0.35745966
1,0.91395056
1,0.26785213
1,1.0
1,0.3854119
1,0.9602306
1,0.08477816
1,0.6876368
1,0.6401167
1,0.49074778
1,0.4325212
1,0.36436325
1,0.2954864
1,0.985628
1,0.56583786
1,1.0
1,0.19539717
1,0.4302882
1,0.32311338
1,0.48185518
1,1.0
1,0.32268924
1,0.18976986
1,0.42305478
1,0.32973906
1,0.7478821
1,1.0
1,0.58499974
1,1.0
1,0.7469314
1,0.298876
0,0.34744042
0,0.7355882
0,0.029220521
1,0.3605777
0,0.3117807
1,0.4052862
0,0.14075777
1,0.6092653
1,0.37375534
0,0.30896932
1,1.0
0,0.3735299
1,0.9826329
1,0.36138657
1,0.94098234
0,0.051097155
0,0.21621329
0,0.44804347
1,0.37747467
1,0.3482476
0,0.30460733
0,0.31696656
1,0.30465674
1,0.5483555
0,0.34515023
1,0.40684724
1,0.3928055
1,0.3528782
1,0.846506
0,0.3349967
0,0.2728134
0,0.41222405
0,0.33630306
0,0.23475909
0,0.40427694
1,0.5259997
1,0.50000745
0,0.2799881
1,0.61554265
0,0.17071679
1,0.23211443
0,0.2517885
0,0.3279503
1,0.44599646
1,0.5160147
1,0.36474562
0,0.21659678
0,0.5941825
1,0.94774073
0,0.4120367
0,0.3755203
0,0.33814895
1,0.95453924
1,0.3525595
1,0.34406024
1,1.0
0,0.41198376
0,0.4118812
1,0.71472424
0,0.63704044
0,0.15420204
1,0.3202584
0,0.22932056
0,0.23936012
0,0.4073239
1,0.38912824
1,0.5645788
1,0.9818739
0,0.41309726
1,0.42656094
1,0.5070037
1,1.0
1,1.0
0,0.2925396
0,0.47617236
0,0.40206814
1,0.40903187
1,0.32623506
0,0.2973246
0,0.32364908
0,0.32077548
0,0.48915944
1,1.0
0,0.95518076
0,0.4194192
1,0.30324727
0,0.6340115
0,0.15473288
1,0.42371023
0,0.37686664
0,0.35074806
0,0.4258693
0,0.30467147
1,0.28482446
1,0.59594166
1,0.3476581
1,0.31991357
1,0.9893553
0,0.3617469
1,0.7885194
1,1.0
1,0.99411166
1,1.0
1,1.0
0,0.26493943
1,0.28439572
0,0.31753102
0,0.36428264
0,0.32612246
1,0.9974823
1,0.24679682
0,0.55219173
1,0.49508658
0,0.12654969
0,0.4491758
0,0.2749669
0,0.109699786
0,0.39202124
0,0.7593626
0,0.16741109
0,0.3530371
0,0.33467364
1,0.99950373
0,0.29980856
0,0.22617015
0,0.20890105
0,0.39372224
0,0.3497629
0,0.39163414
0,0.47539216
1,0.294595
0,0.3126241
1,0.34254915
1,0.39551508
0,0.10964525
0,0.44969904
1,0.3822731
0,0.16762453
1,0.70678437
1,0.40491647
0,0.14846319
0,0.3610479
0,0.10599947
0,0.3512708
0,0.4592142
0,0.34434563
0,0.39034623
0,0.5051727
0,0.3640582
1,0.4386054
0,0.22888982
0,0.41382682
1,0.38245806
0,0.2545841
0,0.36287802
0,0.3261807
1,0.4112425
0,0.48149347
1,0.6612185
0,0.32568574
0,0.3962053
0,0.39310512
1,0.49332127
0,0.31401074
1,0.75073427
1,1.0
1,0.9097413
0,0.5551444
1,1.0
0,0.38400933
1,0.5340009
1,0.43515795
1,0.73986804
0,0.1750803
0,0.3141037
0,0.31004903
0,0.35068744
0,0.079373956
1,0.359816
0,0.4246914
0,0.2647516
1,0.15795544
1,0.31182396
0,0.42123353
0,0.4153705
0,0.33363533
1,0.36143407
0,0.36157256
0,0.3362735
0,0.40578553
1,0.37978882
1,0.37581718
0,0.32695612
1,0.3541137
1,1.0
1,0.4089678
0,0.31226438
0,0.09482467
1,1.0
1,0.31814402
0,0.31269926
0,0.3701806
0,0.43245965
0,0.36686444
0,0.3564871
1,0.99950117
1,0.30219677
0,0.12890017
1,0.38148484
1,0.1419824
1,1.0
1,0.37914786
1,0.97968996
0,0.04367748
1,0.9987562
0,0.43968132
0,0.31539482
1,0.36330122
0,0.33145446
1,0.3815071
0,0.3951977
1,0.35136223
1,0.3958646
0,0.33925763
1,0.9999777
0,0.45125428
0,0.2771489
1,0.34268445
1,0.40843588
0,0.36716735
0,0.36637378
1,0.41094935
0,0.33305508
1,1.0
0,0.37768844
0,0.43213257
1,0.51534307
1,0.3863616
1,0.3180855
1,0.72257257
1,0.47987387
1,0.38481966
1,0.349602
1,0.37755972
1,0.61625415
0,0.35073954
1,0.97492486
0,0.7445273
1,0.41410562
0,0.3386528
1,0.52541554
1,0.2644735
1,0.61320186
0,0.535575
1,1.0
0,0.31619966
0,0.4553232
1,0.99625814
1,0.8967572
0,0.35098654
1,1.0
0,0.45322183
1,0.9824211
0,0.31981212
1,0.40823856
1,0.7954241
1,0.14603633
1,0.39748493
1,1.0
1,0.44434297
1,0.6295697
0,0.45633987
0,0.380176
1,0.284774
0,0.47916055
1,0.48119643
1,0.999509
0,0.41956046
0,0.084649295
0,0.09493956
0,0.44233403
1,0.08637264
0,0.28344482
0,0.37942272
1,0.6319739
0,0.37647584
1,0.81310105
0,0.30958986
0,0.5252256
1,1.0
1,0.34137985
0,0.32217002
1,1.0
1,0.38416427
0,0.5991554
0,0.36282507
1,0.78980637
1,1.0
1,0.44348806
0,0.29843682
1,0.34067672
0,0.43910676
0,0.37348366
0,0.42943212
0,0.50913143
0,0.26224643
1,0.67962116
1,0.33289737
0,0.5046469
0,0.505686
0,0.30703467
1,0.44182232
0,0.59677434
0,0.42224297
0,0.22666982
0,0.35336435
1,0.93361413
1,0.9222373
1,1.0
1,0.9934095
1,0.4145914
1,0.7682879
0,0.5804238
1,0.9989464
0,0.27277803
0,0.25410387
0,0.20669219
1,0.98759264
1,1.0
1,1.0
0,0.3576463
1,1.0
0,0.35797197
0,0.3836105
1,0.5008232
0,0.16954333
0,0.3041072
0,0.11000052
0,0.28202134
1,0.31928307
1,0.8328309
1,0.65361184
0,0.40079752
1,1.0
0,0.30437672
0,0.4572387
0,0.34971744
1,0.48553163
1,0.46840078
1,0.9999906
1,0.99908686
0,0.35531312
0,0.60701054
1,0.92742455
1,0.9988458
0,0.32733357
1,0.9915904
0,0.3347831
1,1.0
1,0.66531956
1,0.62721574
0,0.3779967
0,0.28956845
0,0.3091656
1,0.38002726
1,0.4658007
0,0.015583336
1,0.30947408
0,0.18739831
1,1.0
1,1.0
0,0.408346
0,0.38176107
1,0.38650173
