真实标签,预测概率
0,0.46590573
1,0.9456585
0,0.4933271
1,1.0
0,0.31424928
0,0.34970188
0,0.19053087
0,0.3029616
1,0.3304063
0,0.4161318
0,0.045105994
0,0.119822085
0,0.37905034
1,0.2615877
1,0.34115177
0,0.1160543
1,1.0
1,0.4688203
1,1.0
1,1.0
1,0.99999505
1,0.99999934
0,0.35771096
1,0.51962763
0,0.3337047
1,0.4861488
1,0.33874595
1,0.3536319
0,0.31841567
1,0.24846879
1,0.21475258
0,0.1155051
0,0.5324446
1,1.0
1,0.40889773
0,0.2832483
0,0.48543411
0,0.00710997
0,0.2364122
1,0.99835944
0,0.23349437
1,0.35602894
1,0.40546334
1,1.0
0,0.38963246
0,0.2701252
1,0.3976074
1,0.9999877
1,0.37639913
0,0.43678573
1,1.0
0,0.17443603
0,0.085199445
1,0.99999905
1,1.0
0,0.39294022
0,0.3766277
1,0.9890443
1,0.4648095
1,0.9993903
0,0.47935396
0,0.04591313
1,0.5371542
1,0.23781735
1,0.37751907
0,0.28124267
0,0.26757216
0,0.21363777
0,0.37501454
1,0.40239522
0,0.12512109
0,0.44502932
0,0.039783925
0,0.22160858
0,0.055820823
0,0.37264556
0,0.38547063
0,0.46681383
0,0.27524474
0,0.08860871
0,0.30209935
0,0.39535522
1,0.37888196
1,1.0
0,0.12496701
0,0.18430793
0,0.47030187
0,0.35842013
1,1.0
0,0.66459906
0,0.10386747
0,0.23900169
0,0.100248754
0,0.08600941
1,1.0
0,0.36177683
0,0.47985965
0,0.14257088
0,0.32929134
1,0.6947837
0,0.14753324
1,0.9999974
0,0.37516522
1,1.0
0,0.31747085
1,0.29910162
0,0.057380676
1,0.99999285
0,0.20681816
1,0.13360417
1,0.34105164
1,1.0
1,0.6850788
0,0.007270366
0,0.31831688
0,0.050323248
1,0.3819474
0,0.15691286
0,0.2991236
1,0.44561213
1,0.35257655
0,0.1916539
0,0.0536443
0,0.49260768
0,0.026102453
1,0.31858808
1,1.0
0,0.11622921
0,0.23514873
1,1.0
0,0.18601757
1,0.4715869
0,0.14714727
0,0.32328296
1,0.9976983
1,0.9856163
1,1.0
1,0.55717725
1,0.30763733
0,0.42785847
0,0.39557156
1,1.0
1,0.36088318
1,0.33992717
1,0.6372796
0,0.026888967
1,0.19066459
0,0.43257585
0,0.08673349
0,0.49777016
0,0.40016785
0,0.31547976
0,0.044689626
0,0.34816566
0,0.37029165
1,0.21165934
0,0.3766928
0,0.20610186
0,0.47432613
1,0.40063933
1,0.17912856
1,0.33160734
1,1.0
0,0.030769825
1,0.5189166
0,0.07044616
0,0.1386486
1,0.23411891
1,0.36559698
1,0.5671243
1,0.4305147
0,0.32644942
0,0.32525876
1,1.0
1,0.47467464
0,0.3515342
0,0.41665444
1,0.35916013
1,0.19789243
0,0.05050555
1,0.9988756
1,0.6736498
0,0.57850176
1,1.0
1,0.43800277
1,0.30223656
0,0.41220462
0,1.0
1,0.34891033
0,0.35123777
0,0.3963818
1,0.36221015
0,0.31557152
1,0.5038542
1,1.0
1,0.17306891
0,0.13529241
1,0.98218733
0,0.27199557
1,0.3545282
0,0.040297896
0,0.50968826
1,1.0
1,1.0
1,0.49968284
1,1.0
0,0.27855808
0,0.35834634
1,0.36684388
1,0.99848276
1,1.0
1,0.9847821
1,0.9999999
1,0.9999151
1,0.5302914
1,0.066699415
0,0.19547662
1,0.4262069
1,0.22531831
1,0.9950342
0,0.33760726
0,0.36753714
0,0.30024153
0,0.40973365
0,0.07138649
0,0.08693108
0,0.47182477
1,1.0
0,0.3257568
0,0.2619009
1,0.9686945
0,0.4714013
0,0.34399435
1,1.0
0,0.33547908
1,0.47875533
1,0.38437685
0,0.10138416
1,1.0
1,0.95562583
1,0.2739025
1,0.3391844
1,1.0
1,0.43104422
0,0.3538503
0,0.13652217
1,0.997717
0,0.32779443
0,0.735203
1,0.42821303
1,1.0
1,0.05664596
1,1.0
0,0.12987882
1,0.34541553
1,0.992661
1,0.29181403
1,0.38850644
1,0.79371136
1,0.45056126
1,1.0
1,0.3886645
1,1.0
0,0.40246457
1,0.712355
1,0.40757945
1,1.0
0,0.1363438
0,0.17107308
1,1.0
1,0.8552285
1,0.999774
1,0.99284434
1,0.7605942
0,0.49570057
1,0.30371535
1,0.36458957
1,0.4264955
1,0.42349365
0,0.33572873
1,1.0
1,0.07222888
0,0.35515106
0,0.31007382
0,0.34986776
1,0.94434476
1,0.35857558
0,0.51168424
1,0.28803837
0,0.34182304
1,1.0
1,0.9999999
0,0.42447084
1,0.50450486
0,0.022197068
1,0.41349104
1,0.4339485
1,0.36207938
1,1.0
0,0.30192912
1,0.8533347
0,0.022830635
0,0.15816054
1,0.9763681
1,1.0
1,0.36415443
1,0.23508003
0,0.3942216
0,0.027026594
0,0.2414302
1,1.0
1,0.16979629
0,0.4144377
0,0.14263573
1,0.3956747
1,0.9986648
1,0.6740946
0,0.37859252
1,0.99925154
0,0.5799595
1,0.39926094
0,0.47680107
0,0.36878222
0,0.19702658
1,0.41450214
1,1.0
1,0.6292624
1,1.0
0,0.08971822
1,0.17108902
1,0.13743272
0,0.727271
1,0.43471324
0,0.17077076
1,0.9998396
0,0.37704903
0,0.07292122
0,0.5282997
1,1.0
0,0.07180533
0,0.3223281
1,1.0
1,1.0
0,0.35922527
0,0.21465859
0,0.09306526
0,0.5979457
1,0.86341894
1,0.8265511
1,0.2878032
1,0.21387547
0,0.42649698
0,0.10908735
0,0.13465509
0,0.3880939
1,1.0
1,0.39642468
1,1.0
0,0.5119222
1,1.0
0,0.11653626
0,0.40243733
1,0.9407612
1,0.30878174
1,1.0
1,0.19775218
0,0.3370372
1,0.99971986
1,0.10305816
1,0.29415148
0,0.11288974
0,0.36727637
0,0.12107539
1,0.37467945
1,0.39607885
0,0.3819331
1,0.99999154
1,1.0
1,0.41109493
1,0.25260454
1,0.9999515
1,0.6179574
1,0.40153497
1,0.37200052
1,0.47661003
1,0.3286482
1,0.15930918
0,0.37505978
0,0.3294908
0,0.3525707
0,0.37839308
0,0.17324173
0,0.3995996
1,0.3047873
0,0.044852406
0,0.37241244
0,0.058371425
1,0.56262976
0,0.37959695
1,0.2761392
0,0.4733996
0,0.42465168
0,0.38913366
0,0.032022238
0,0.37257636
1,0.9991606
0,0.4279346
0,0.12559974
1,1.0
1,0.99975026
0,0.43032014
0,0.34826654
0,0.4218135
1,0.58851755
1,0.36856973
0,0.39916733
1,0.33460498
1,0.16956234
1,0.40050557
1,1.0
0,0.43391198
0,0.37095025
1,1.0
1,0.17556289
1,1.0
0,0.3650766
0,0.26308185
0,0.24184003
1,0.36472774
1,0.32913905
0,0.17246294
1,1.0
1,0.31301147
0,0.41192192
0,0.13100648
0,0.15115988
0,0.34330595
1,0.32600367
0,0.42719075
1,0.112841755
0,0.35470742
0,0.5095256
1,0.31218687
1,0.17147994
1,1.0
1,0.14351842
1,0.40645695
1,1.0
0,0.18566579
0,0.27254492
1,0.31638145
0,0.20854115
1,0.30971244
0,0.32783186
1,1.0
1,1.0
1,1.0
0,0.33507526
1,0.08523461
1,0.55526936
0,0.59495425
0,0.33041984
1,0.35775697
1,0.24491799
0,0.28483674
0,0.23033565
0,0.04041794
0,0.46390978
0,0.10334402
0,0.3519758
1,0.9995817
1,0.99826777
0,0.19456789
1,0.30932817
0,0.352729
0,0.09630129
0,0.40961045
1,1.0
1,0.7139406
1,0.4159633
0,0.2096037
0,0.35156706
1,0.31019318
1,0.8835335
1,0.4103726
0,0.8960736
1,0.38381535
1,0.41604567
1,0.46674535
1,0.39472044
0,0.21212086
1,0.9791425
0,0.2853943
0,0.457623
1,0.9120414
1,0.9999981
0,0.14197189
0,0.35930765
0,0.16973573
1,0.9999416
0,0.36608958
0,0.3534087
0,0.32772905
1,0.17721501
1,0.6219042
1,1.0
1,0.49315876
0,0.08649254
0,0.37123314
0,0.40023234
0,0.071572006
1,0.34876576
1,1.0
1,0.1544872
0,0.29352137
0,0.51341945
0,0.03076461
1,0.3622722
0,0.36644232
1,0.32469335
0,0.56813985
1,0.9894912
0,0.48315415
1,0.9990531
1,0.4196385
1,0.33642024
0,0.28363
1,0.27191567
0,0.35803935
0,0.4417059
1,0.22543311
1,0.5332451
1,0.98664325
0,0.36907768
1,0.9999552
0,0.074129224
1,0.3481142
1,1.0
1,0.43652934
0,0.30986264
0,0.10400033
1,0.36646116
1,0.4071747
1,0.24570608
1,0.38203973
0,0.2497434
1,0.35852766
0,0.44285443
0,0.048816234
1,0.30829316
0,0.9735944
0,0.5443986
1,0.54382664
1,0.9988002
1,0.3399214
0,0.5496293
1,0.9844878
1,0.78271425
1,0.43689203
0,0.9776033
0,0.07995474
1,0.18933186
1,0.41695613
1,0.3199519
1,0.41107026
1,0.5009016
1,0.4331734
0,0.17539597
0,0.2954044
0,0.24478543
1,1.0
0,0.13017097
1,1.0
0,0.04796335
0,0.47317693
0,0.58744806
1,0.392398
0,0.34516335
0,0.3837506
1,0.9704213
0,0.47846612
1,0.99981046
0,0.3238458
1,0.6134159
0,0.4233724
0,0.51999843
1,0.98230815
0,0.07638228
0,0.10736337
0,0.06536266
0,0.12444356
1,1.0
1,0.59626967
1,0.3493026
1,1.0
0,0.024654865
1,0.32511836
1,0.5722868
1,0.2887951
0,0.4062971
1,1.0
0,0.43402547
1,0.3429549
0,0.3721063
1,0.43605113
0,0.29107127
1,0.3910759
0,0.16181836
0,0.31759372
1,0.49970925
1,0.28591514
1,0.36920965
1,0.28078625
0,0.56527334
0,0.036999553
0,0.33309346
1,0.98179287
1,0.3777662
1,1.0
0,0.14466688
0,0.19599736
0,0.50134724
0,0.5913148
1,1.0
0,0.31594422
1,1.0
0,0.07707399
1,1.0
1,0.52487
1,0.9997641
1,0.3625564
1,0.48642102
1,1.0
1,0.38193333
1,0.34561425
1,0.35341388
0,0.15827996
1,0.4052372
0,0.03064543
1,1.0
0,0.2584718
0,0.3756889
