真实标签,预测概率
1,2.2795372
1,2.940804
1,1.8488756
1,2.5032806
1,3.5518322
1,2.479457
1,2.9918847
1,1.8488756
1,3.0691457
1,2.4863
1,3.1155562
1,2.3877478
1,3.1168776
1,2.479457
1,3.11675
1,1.8488756
1,3.747798
1,3.0253837
1,3.7565632
1,3.7712865
1,2.4990525
1,2.7758918
1,1.8488756
1,3.1021583
1,1.8488756
1,2.479457
1,3.0979812
1,1.8488756
1,2.3326707
1,3.095315
1,2.1504812
1,2.464734
1,3.520936
1,3.1405187
1,2.4863
1,2.479457
1,3.6907296
1,2.4863
1,3.0909262
1,3.7216983
1,2.479457
1,2.479457
1,2.847136
1,3.1338406
0,2.464734
1,2.461731
0,3.0944242
0,2.4950771
1,3.0972133
0,2.479457
1,2.5032806
1,3.0911794
1,2.7500732
1,3.1397066
1,3.7703605
1,2.1239429
1,1.8488756
1,3.6923866
1,1.8488756
0,2.9444761
1,3.0972016
0,3.0852227
0,2.7846847
1,2.4566302
1,2.479457
0,1.8488756
0,1.8488756
1,2.8487911
1,2.8887749
1,2.3368933
1,1.8488756
1,3.1168814
1,1.8488756
0,1.8488756
1,1.8488756
0,1.8488756
1,1.8488756
1,1.8488756
0,2.461731
0,2.5669222
1,1.8488756
1,2.479457
1,3.0893404
0,3.133862
1,2.4617043
0,1.8488756
0,3.0717711
0,2.461731
1,3.649665
1,3.1010861
1,2.4863
0,1.8488756
1,3.0923123
1,2.4863
1,3.133862
0,1.8488756
0,1.8488756
1,2.4863
0,1.8488756
1,2.2276335
0,2.4615088
1,3.1165729
1,1.8488756
1,2.9507694
0,2.479457
0,2.464734
1,3.1021583
1,2.5032644
0,1.8488756
0,1.8488756
0,1.8488756
0,3.7444801
1,1.8488756
0,2.3863873
0,2.461731
0,1.8488756
0,2.464734
0,3.0466762
0,1.8488756
0,1.8488756
1,2.461731
1,2.4863
0,2.4613867
0,3.1168404
1,3.097125
1,2.4863
0,2.5032806
1,3.1168814
1,1.8488756
1,2.5032468
0,2.479457
1,2.4645386
0,1.8488756
1,3.4432313
0,4.323463
0,3.599968
1,3.7565463
0,2.8407025
1,2.4863
0,2.478949
0,2.8228035
0,3.133862
1,2.479457
1,3.0751123
1,2.6449685
1,2.479457
1,1.8488756
1,1.8488756
1,2.461731
0,1.8488756
1,2.407609
0,2.479457
1,2.1939554
0,1.8488756
1,2.461731
0,1.8488756
1,3.1007168
0,1.8488756
1,2.4859557
1,2.9573646
1,2.4863
1,2.46172
1,3.1405172
1,1.8488756
1,3.0984156
1,1.8551762
0,2.479457
0,1.8488756
0,1.8488756
1,2.461731
1,2.4800038
0,1.8488756
1,2.4791994
1,2.5032806
1,1.8488756
1,2.3940372
1,2.479457
0,1.8488756
0,1.8488756
0,2.461731
0,2.502792
0,1.8488756
0,1.8488756
1,2.5032806
0,2.479444
0,1.8488756
