precision,recall
0.5063291139240507,1.0
0.5050761421319797,0.995
0.5063613231552163,0.995
0.5076530612244898,0.995
0.5089514066496164,0.995
0.5102564102564102,0.995
0.5089974293059126,0.99
0.5103092783505154,0.99
0.5116279069767442,0.99
0.5103626943005182,0.985
0.5116883116883116,0.985
0.5130208333333334,0.985
0.5143603133159269,0.985
0.5157068062827225,0.985
0.5170603674540682,0.985
0.5157894736842106,0.98
0.5145118733509235,0.975
0.5158730158730159,0.975
0.5172413793103449,0.975
0.5159574468085106,0.97
0.5173333333333333,0.97
0.5187165775401069,0.97
0.5201072386058981,0.97
0.5188172043010753,0.965
0.5175202156334232,0.96
0.518918918918919,0.96
0.5203252032520326,0.96
0.5217391304347826,0.96
0.5204359673024523,0.955
0.5218579234972678,0.955
0.5205479452054794,0.95
0.521978021978022,0.95
0.5206611570247934,0.945
0.5193370165745856,0.94
0.5207756232686981,0.94
0.5222222222222223,0.94
0.5236768802228412,0.94
0.5223463687150838,0.935
0.5210084033613446,0.93
0.5196629213483146,0.925
0.5211267605633803,0.925
0.519774011299435,0.92
0.5184135977337111,0.915
0.5198863636363636,0.915
0.5213675213675214,0.915
0.5228571428571429,0.915
0.5243553008595988,0.915
0.5258620689655172,0.915
0.5273775216138329,0.915
0.5289017341040463,0.915
0.5304347826086957,0.915
0.5319767441860465,0.915
0.5335276967930029,0.915
0.5350877192982456,0.915
0.5366568914956011,0.915
0.538235294117647,0.915
0.5398230088495575,0.915
0.5414201183431953,0.915
0.5400593471810089,0.91
0.5416666666666666,0.91
0.5402985074626866,0.905
0.5419161676646707,0.905
0.5435435435435435,0.905
0.5421686746987951,0.9
0.5438066465256798,0.9
0.5424242424242425,0.895
0.541033434650456,0.89
0.5426829268292683,0.89
0.5443425076452599,0.89
0.5460122699386503,0.89
0.5476923076923077,0.89
0.5462962962962963,0.885
0.5479876160990712,0.885
0.5496894409937888,0.885
0.5482866043613707,0.88
0.546875,0.875
0.54858934169279,0.875
0.550314465408805,0.875
0.5520504731861199,0.875
0.5506329113924051,0.87
0.5523809523809524,0.87
0.554140127388535,0.87
0.5527156549520766,0.865
0.5544871794871795,0.865
0.5530546623794212,0.86
0.5548387096774193,0.86
0.5566343042071198,0.86
0.5584415584415584,0.86
0.5602605863192183,0.86
0.5620915032679739,0.86
0.5606557377049181,0.855
0.5625,0.855
0.5610561056105611,0.85
0.5596026490066225,0.845
0.5581395348837209,0.84
0.56,0.84
0.5618729096989966,0.84
0.5604026845637584,0.835
0.5622895622895623,0.835
0.5608108108108109,0.83
0.5627118644067797,0.83
0.5612244897959183,0.825
0.5597269624573379,0.82
0.5616438356164384,0.82
0.563573883161512,0.82
0.5655172413793104,0.82
0.5674740484429066,0.82
0.5694444444444444,0.82
0.5679442508710801,0.815
0.5664335664335665,0.81
0.5684210526315789,0.81
0.5704225352112676,0.81
0.5724381625441696,0.81
0.5709219858156028,0.805
0.5729537366548043,0.805
0.575,0.805
0.5770609318996416,0.805
0.5755395683453237,0.8
0.5776173285198556,0.8
0.5797101449275363,0.8
0.5818181818181818,0.8
0.5802919708029197,0.795
0.5824175824175825,0.795
0.5845588235294118,0.795
0.5867158671586716,0.795
0.5888888888888889,0.795
0.587360594795539,0.79
0.585820895522388,0.785
0.5880149812734082,0.785
0.5902255639097744,0.785
0.5886792452830188,0.78
0.5909090909090909,0.78
0.5931558935361216,0.78
0.5916030534351145,0.775
0.5938697318007663,0.775
0.5923076923076923,0.77
0.5907335907335908,0.765
0.5930232558139535,0.765
0.5953307392996109,0.765
0.59375,0.76
0.592156862745098,0.755
0.594488188976378,0.755
0.5968379446640316,0.755
0.5992063492063492,0.755
0.5976095617529881,0.75
0.596,0.745
0.5983935742971888,0.745
0.5967741935483871,0.74
0.5991902834008097,0.74
0.6016260162601627,0.74
0.6040816326530613,0.74
0.6065573770491803,0.74
0.6049382716049383,0.735
0.6033057851239669,0.73
0.6016597510373444,0.725
0.6041666666666666,0.725
0.606694560669456,0.725
0.6050420168067226,0.72
0.6075949367088608,0.72
0.6101694915254238,0.72
0.6127659574468085,0.72
0.6153846153846154,0.72
0.6180257510729614,0.72
0.6163793103448276,0.715
0.6190476190476191,0.715
0.6217391304347826,0.715
0.6244541484716157,0.715
0.6271929824561403,0.715
0.6299559471365639,0.715
0.6327433628318584,0.715
0.6311111111111111,0.71
0.6294642857142857,0.705
0.6278026905829597,0.7
0.6261261261261262,0.695
0.6244343891402715,0.69
0.6272727272727273,0.69
0.6301369863013698,0.69
0.6330275229357798,0.69
0.6359447004608295,0.69
0.6388888888888888,0.69
0.641860465116279,0.69
0.6448598130841121,0.69
0.6431924882629108,0.685
0.6415094339622641,0.68
0.6398104265402843,0.675
0.6428571428571429,0.675
0.645933014354067,0.675
0.6442307692307693,0.67
0.6473429951690821,0.67
0.6456310679611651,0.665
0.6487804878048781,0.665
0.6470588235294118,0.66
0.645320197044335,0.655
0.6485148514851485,0.655
0.6467661691542289,0.65
0.65,0.65
0.6532663316582915,0.65
0.6515151515151515,0.645
0.6548223350253807,0.645
0.6530612244897959,0.64
0.6512820512820513,0.635
0.654639175257732,0.635
0.6580310880829016,0.635
0.65625,0.63
0.6544502617801047,0.625
0.6578947368421053,0.625
0.656084656084656,0.62
0.6542553191489362,0.615
0.6577540106951871,0.615
0.6559139784946236,0.61
0.654054054054054,0.605
0.6521739130434783,0.6
0.6502732240437158,0.595
0.6538461538461539,0.595
0.6519337016574586,0.59
0.6555555555555556,0.59
0.659217877094972,0.59
0.6573033707865169,0.585
0.655367231638418,0.58
