真实标签,预测概率
0,0.37225753
0,0.22454226
0,0.27841938
0,0.12776312
0,0.1939311
0,0.4180014
0,0.3778885
0,0.44641736
0,0.3390362
0,0.43614525
0,0.3321023
0,0.4084537
0,0.34336883
0,0.15839607
0,0.42264482
0,0.29423583
0,0.15109462
0,0.3774768
0,0.34278184
0,0.42897362
0,0.42170006
0,0.37776625
0,0.41365004
0,0.47424793
0,0.3685295
0,0.3619928
1,0.9796791
0,0.46511084
1,0.40194976
1,0.5657419
0,0.18822318
1,0.41828308
1,1.0
0,0.34577778
1,0.37131518
0,0.17245159
1,0.9160683
1,0.33271143
0,0.99102664
0,0.40279698
0,0.42689764
1,0.40696898
0,0.04734215
1,0.22669724
0,0.16259089
1,1.0
1,0.45402464
1,0.4190893
1,0.4316133
0,0.40189207
1,0.4455921
1,0.9996432
1,0.44283056
0,0.38479
1,0.365524
1,0.49061975
1,0.38680252
1,1.0
0,0.2083118
1,0.8868277
1,0.80789846
1,1.0
0,0.13730547
1,0.24775243
0,0.44412053
0,0.3824994
1,0.56756914
1,0.46749675
1,0.7148081
0,0.19494152
1,0.4141521
1,0.16705489
0,0.3958985
0,0.3875637
1,0.2267249
1,0.42096728
0,0.5243948
1,0.5704419
1,1.0
1,1.0
1,0.20461118
0,0.4875186
0,0.6166093
1,0.23450944
1,0.9992862
1,0.3631369
1,1.0
1,1.0
1,0.760687
1,0.453993
0,0.36656344
0,0.45750126
1,1.0
0,0.4426125
0,0.2451053
0,0.4050512
1,0.35756746
0,0.33743995
1,0.39821386
1,0.24103376
1,0.99650836
1,0.41412035
1,0.52010614
0,0.42946178
0,0.39848295
0,0.20440364
0,0.44932377
0,0.31853145
0,0.40250596
0,0.24117136
1,0.5201604
1,0.9007823
1,0.43148178
1,0.8442025
1,1.0
0,0.20844525
0,0.45717365
1,1.0
0,0.34198686
0,0.39530557
1,1.0
0,0.28159595
1,0.99560857
1,0.404616
1,0.9891317
1,0.54515845
0,0.35629964
0,0.2777698
0,0.10628402
0,0.32435074
0,0.20928681
0,0.11102021
1,0.39754912
1,0.8395686
1,1.0
0,0.046540976
0,0.4234381
1,0.8040084
0,0.28002352
0,0.4139557
1,1.0
0,0.40979928
0,0.47017676
1,1.0
0,0.3992703
1,0.40490234
1,0.41922498
1,0.37886575
1,1.0
0,0.24610785
0,0.17701313
1,0.81907535
0,0.40134025
0,0.4395786
1,1.0
0,0.30999196
0,0.5178187
0,0.2896073
1,0.33594406
1,0.99780047
0,0.2115792
1,0.9869701
0,0.31073993
0,0.40683836
1,1.0
0,0.38467085
0,0.16266838
1,0.42118606
0,0.14696094
1,1.0
0,0.3194136
1,0.38833952
1,0.47794157
0,0.071343064
0,0.100242585
0,0.33222163
0,0.37060508
1,0.4972649
0,0.11527714
1,1.0
0,0.28831363
1,0.4231088
1,0.44901812
1,0.27299488
0,0.118492514
0,0.36174196
1,0.93742126
0,0.3897025
0,0.4100993
1,0.77777326
1,0.69231313
1,0.4766395
0,0.24369454
1,0.40202934
1,1.0
0,0.64666444
1,1.0
1,0.46173212
1,0.5583813
1,0.35731608
0,0.44804344
0,0.36165377
0,0.59480655
0,0.43223134
0,0.5515244
1,0.3912687
1,0.9999487
0,0.3942652
1,0.31470597
0,0.14176375
0,0.40917343
1,0.35107338
1,0.9786995
0,0.4051478
0,0.07669455
1,0.41985047
0,0.09743464
0,0.3674409
1,0.33899677
0,0.40260792
1,0.31232625
1,1.0
1,0.99869835
1,1.0
1,1.0
1,0.40234232
1,0.48563012
0,0.5686739
0,0.2998372
0,0.4120293
0,0.31267458
1,0.41347533
1,0.26419723
0,0.30306917
0,0.0059459805
1,1.0
0,0.43044713
1,1.0
1,0.42336822
1,0.35075042
0,0.36377856
1,0.13322946
1,0.39268017
0,0.43110365
0,0.40725467
0,0.42532703
1,0.43901172
1,0.45315182
1,0.30796582
0,0.33484757
0,0.2596588
0,0.38892645
1,0.91541004
1,0.9988515
1,1.0
0,0.34826317
1,0.40991545
0,0.07086027
0,0.34700027
0,0.18992355
0,0.43825892
0,0.20339596
1,0.85253024
1,0.39198732
