真实标签,预测概率
0,0.38206512
0,0.3251906
0,0.231832
0,0.10746595
0,0.23135373
0,0.8918891
0,0.42558306
0,0.6041886
0,0.44750246
0,0.44069725
0,0.34686032
0,0.6142967
0,0.4155878
0,0.12364599
0,0.35252818
0,0.40763578
0,0.16672128
0,0.46194652
0,0.30612022
0,0.40533406
0,0.7023098
0,0.37168896
0,0.4959901
0,0.7546642
0,0.49174812
0,0.68445265
1,0.75567657
0,0.705049
1,0.5387025
1,0.8200617
0,0.2441831
1,0.8245548
1,0.8271158
0,0.47213477
1,0.37281758
0,0.25347418
1,0.64281183
1,0.6293783
0,0.7458266
0,0.7163538
0,0.69781363
1,0.3796003
0,0.037290126
1,0.2304036
0,0.18781269
1,0.98225415
1,0.7243165
1,0.6446977
1,0.5110356
0,0.42902383
1,0.81568193
1,0.8467018
1,0.35896516
0,0.42510974
1,0.5342019
1,0.7716938
1,0.38047788
1,0.7357631
0,0.30836868
1,0.69958586
1,0.21038568
1,0.568485
0,0.27252942
1,0.5055834
0,0.75941753
0,0.6583002
1,0.8505814
1,0.6414545
1,0.4111436
0,0.25717738
1,0.43797466
1,0.19699892
0,0.74340814
0,0.30248773
1,0.29532334
1,0.3716522
0,0.75509167
1,0.64769197
1,0.5739423
1,0.92248356
1,0.30577618
0,0.7265952
0,0.7714677
1,0.35491538
1,0.64927256
1,0.37296242
1,0.91216195
1,0.6719179
1,0.5848326
1,0.6604614
0,0.40010026
0,0.69859123
1,0.6628367
0,0.772398
0,0.35511857
0,0.3794928
1,0.6157741
0,0.43648565
1,0.34069473
1,0.32379156
1,0.43269706
1,0.6034707
1,0.820777
0,0.3588877
0,0.5146652
0,0.24494284
0,0.6664335
0,0.42284024
0,0.36231136
0,0.42183077
1,0.80209047
1,0.7612534
1,0.58983195
1,0.41123354
1,0.9994241
0,0.2277484
0,0.5315659
1,0.77880216
0,0.6487423
0,0.60413235
1,0.68723243
0,0.36693484
1,0.8243664
1,0.3439926
1,0.8225559
1,0.75650215
0,0.43095425
0,0.43150267
0,0.09334892
0,0.7042144
0,0.261719
0,0.103455484
